cust_id,full_name,customer_category,sex,birth_date,account_created,status,acquisition_source,customer_tier,created_timestamp,email_address,phone_number,last_purchase_date,total_purchases,loyalty_points,age,lifetime_value,country
10256,Justin Page,Guest,Female,1957-03-29 00:00:00,2022-02-19 21:59:33.643000,Blocked,Twitter,New Customer,2024-09-24 16:24:46.931000,troy73@example.org,,2024-11-03 00:00:00,,,  53  ,29997.56,
10167,Russell Brown,B2C,Other,1952-09-29 00:00:00,2021-05-13 07:57:46.078000,Blocked,LinkedIn,At Risk,2025-07-31 14:43:40.948000,thompsonjeremy@example.net,,2025-07-26 00:00:00,82,3273,40,,US
10168,Claire Obrien,B2B,Prefer not to say,1999-04-30 00:00:00,2021-10-14 21:37:19.961000,Active,Google Ads,High Value,2025-04-16 17:01:02.689254,mohammed57@example.net,866.421.0388,2025-08-03,86,4099,54,,EE
10578,Bruce Dickinson-Patel,B2C,Female,1951-10-17 00:00:00,2023-08-14 16:07:29.211000,Inactive,Organic Search,Occasional Buyer,2024-12-29 01:15:05.086000,norman73@example.org,+61831268812,2025-07-20 00:00:00,97,,70,,SE
10836,Kenneth Harper,  Guest  ,Female,1981-05-09 00:00:00,2025-01-02 17:30:45.550000,Active,LinkedIn,Churned,2025-02-17 13:18:57.267000,  browndevin@example.net  ,,2025-07-01 00:00:00,99,  3989  ,48,29647.01,
10982,Stephanie Smith,guest,Other,1962-07-08,2025-05-12 09:39:58.476000,Blocked,Direct,  occasional buyer  ,2025-04-10 11:13:02.375000,ronald94@example.net,01144960051,2025-01-13 00:00:00,20,,,41255.97,NR
10155,Richard Jennings,Guest,Male,1945-07-04 00:00:00,2021-09-15 04:14:19.363000,Active,Instagram,Churned,2025-07-09 09:38:43.624000,kimberlybrandt@example.com,02-2281-6064,2025-04-09 00:00:00,12,348,23,21695.48,CO
10875,Peterson Ltd,B2B,o,2005-03-03 00:00:00,,Blocked,Direct,,2024-09-30 04:45:03.447000,jill83@example.net,,,,,,40728.65,LI
10440,Ronald Foster,B2B,,20050716,2023-11-17T22:41:03.112271,active,,Occasional Buyer,2025-07-16 11:58:10.506000,,+441414960091,,-10,4929,,,US
10535,Rita Forster,Guest,Other,  1972-02-26  ,2022-11-18 08:56:31.069000,Inactive,LinkedIn,Occasional Buyer,2025-02-17 16:53:02.936000,  kaylahardy@example.org  ,(854)425-7306,,,4583,18,32883.84,SD
10325,Barnes-Fox,Guest,2,1990-03-16 00:00:00,,Blocked,Referral,,2025-01-11 16:20:58.183000,megan66@example.org,,,70,,,23419.74,PG
10295,ChÃ¡d Allison,B2C,Male,2005-10-10 00:00:00,2021-12-01 07:04:41.438000,Inactive,Email Marketing,New Customer,2025-01-11 22:08:21.334000,,,2025-01-22 00:00:00,,1435,57,14323.46,BS
  10035  ,Sarah Morgan Jr.,B2B,Other,1996-05-19 00:00:00,2024-04-27 05:06:45,Inactive,Instagram,2,  2025-07-22 06:52:34.158159  ,jreed@example.net,0000000000,1900-01-01,92,,,19442.86,PH
10701,John Russell,B2C,Other,1966-03-21 00:00:00,2020-11-28 06:28:13.255000,Blocked,Facebook,Churned,2025-01-04 13:55:31.612000,scook@example.org,+441314960447,2025-04-21 00:00:00,19,2373,25,24946.35,IN
10171@,Brian Simmons,B2C,Female,1961-02-24 00:00:00,2023-07-07 11:59:18.082000,Inactive,LinkedIn,Churned,2025-09-06 12:04:42.925955,robertbowers@example.com,+44(0)131 4960887,,25,,,21606.72,KP
10086,Jennifer Evans,B2C,  Other  ,1992-03-20 00:00:00,2021-11-23 08:30:57.625000,Blocked,Instagram,  At Risk  ,2024-12-28 02:23:33.773504,jaustin@example.com,0482-634-351,2025-03-23 00:00:00,46,,79,40066.11,MN
10986,Sean Fox,Guest,Prefer not to say,2007-09-07 00:00:00,2020-11-06 15:29:24.004000,Active,Instagram,Occasional Buyer,2024-10-12 23:01:16.227000,hjacobs@example.org,313.505.3572,  2024-12-22  ,3,4614,75,,AF
10820,  Tony Carter  ,B2B,,1976-08-23,2023-06-07 17:51:45.760000,Active,,Occasional Buyer,2025-05-05 08:36:16.765000,,(133) 364-7704 x130,2025-03-14 00:00:00,,3953,  64  ,,  MG  
10101,  Eric Patrick  ,B2B,Female,1946-02-10 00:00:00,2023-12-06 14:54:48.077000,Inactive,Facebook,  High Value  ,2025-08-14 21:41:11.144000,lynnwalsh@example.net,+61.3.6226.6093,2025-01-28 00:00:00,73,,,24991.46,UA
10892,Damien Wright-Holmes,Guest,Male,2005-12-14 00:00:00,2024-01-24 04:50:32.677000,  Active  ,Facebook,new customer,2025-08-25 00:39:46.935000,rodriguezmichael@example.net,+61.2.6921.9587,,49,,,2397.8,AD
10873,Dr Edward Potts,Guest,Prefer not to say,1961-10-03 00:00:00,2021-03-11 14:09:25.579000,Blocked,Organic Search,Churned,2024-12-27 15:39:56.999552,lwashington@example.com,+44118 496 0792,2025-07-19,,,46,37738.54,MD
10020,George Orozco,B2B,,1953-05-28,2022-08-09 19:08:48.010000,Active,,New Customer,2025-05-25 06:30:36.360000,,,2025-01-07 00:00:00,,2162,,,NI
10977,Michelle Alvarado#,Guest,Other,1993-04-20,2024-12-06 16:26:02.659000,Active,Direct,At Risk,2025-08-01 15:34:24.564000,alyssarivas@example.com,68019903,2025-08-23 00:00:00,,2763,25,43807.28,CV
10119,Melissa Williams,Guest,Other,1954-01-12 00:00:00,2025-07-13 18:58:46.371000,Active,Organic Search,Churned,2025-03-15 19:04:25.423000,lori20@example.com,0483-171-210,2024-11-19 00:00:00,,,23,25272.22,GN
10914,Samuel Gordon,B2C,Other,  1992-09-12  ,2023-02-16 08:32:17.095000,Inactive,Organic Search,Churned,2025-09-06 17:21:05.319000,blakeshelton@example.org,+1-343-311-3266,2025-03-29 00:00:00,,3224,74,4250.53,SO
10872,James Raymond,B2B,Other,1974-07-08 00:00:00,2024-01-11 19:09:23.442000,Active,Twitter,High Value,2024-12-10 06:04:51.631000,  jacquelinezamora@example.com  ,230.509.9284x524,2024-09-30 00:00:00,,,32,15291.76,MA
10218,Eric Rodriguez,B2B,MALE,1993-09-08 00:00:00,  2022-11-28 17:15:19.480173  ,Active,direct,Occasional Buyer,2025-06-28 02:16:23.768000,mauricebennett@example.net,1 (221) 823-0768,2024-12-30 00:00:00,61,3533,80,,
,,,,,,,,,    ,,,,,  NA  ,,, 
10555,Stephanie Sheppard,Guest,Prefer not to say,,2024-03-25 10:33:24.278000,Inactive,TWITTER,At Risk,2025-07-03 07:35:38.309000,,,2025-07-30 00:00:00,22,,40,35582.4,RW
10485&,Brenda Harvey,B2C,Prefer not to say,1982-06-18 00:00:00,2025-06-01 22:49:06.869000,Inactive,Organic Search,Occasional Buyer,2025-04-19 23:40:46.306000,xrichardson@example.org,0483-275-327,,,,54,,
10444,Erin Lloyd,B2C,Prefer not to say,1959-03-27 00:00:00,  2024-06-06 15:21:50.050839  ,Inactive,Referral,AT RISK,2025-05-20 09:31:19.885000,wcox@example.net,,2025-04-17 00:00:00,70,,47,15600.35,ML
10848,Dominique Spence,B2B,Prefer not to say,1996-06-10 00:00:00,2025-01-10 05:27:08.891000,Active,Direct,New Customer,2025-04-26 21:07:22.139000,susanpeterson@example.com,01632 960 107,2025-03-18 00:00:00,49,129,37,,TH
10159,Carol Huber,B2C,Other,1984-03-08 00:00:00,2024-01-16 11:09:13.036000,Blocked,Instagram,Churned,2025-07-22 04:09:39.807000,harrismaria@example.net,+61-412-075-011,,,1263,36,35655.43,EE
10008,Mark Perez,Guest,OTHER,  1998-11-05  ,2023-04-06 06:00:54.678000,Active,Referral,Churned,2025-05-11 14:18:29.140000,alexandraallen@example.org,,2024-10-12 00:00:00,38,  4158  ,80,8932.59,NE
10597,Dr Roger Benson,Guest,Female,1990-10-08 00:00:00,2021-05-30 04:23:23.732000,Inactive,Twitter,  Churned  ,2024-10-13 07:05:13.660000,preston00@example.com,,2025-02-08 00:00:00,,4394,73,9244.49,CR
10093,Elizabeth Elliott,Guest,  Female  ,1987-05-05 00:00:00,2022-08-11 06:41:18.212000,Inactive,Facebook,At Risk,  2025-06-24 23:31:33.384240  ,brian63@example.org,+1 (750) 477-3586,2024-10-09 00:00:00,,,60,29752.06,KZ
10191,Nicola Jones-Williams,B2C,Male,1978-11-18 00:00:00,2021-08-21 20:48:59.814000,Blocked,Facebook,High Value,2025-03-26 19:27:24,mhill@example.net,,2024-10-03 00:00:00,54,675,50,,
10052,Dana Chapman,B2B,Prefer not to say,1969-08-15 00:00:00,2024-06-02 06:54:00.081000,Inactive,Facebook,At Risk,2025-01-08 21:48:32.590000,,+44114 4960818,2025-06-01 00:00:00,73,169,,,MG
10314,Jeffrey Johnson,Guest,Other,1997-08-22 00:00:00,2021-03-25 05:41:45.133000,  Blocked  ,Twitter,occasional buyer,2025-08-25 10:50:36.351000,april31@example.net,79110065,2025-06-21 00:00:00,68,,58,43864.69,
10194,  Rebecca Brown  ,B2C,Prefer not to say,1978-01-06 00:00:00,2024-11-11 04:23:47.087000,Inactive,LinkedIn,At Risk,2025-08-20 06:22:36.706000,hardyamanda@example.org,01914960392,2025-06-08 00:00:00,3,,,13438.22,
,     , ,,,,,,, , ,, , , ,,  N/A  ,
,"Kemp, Gamble and Wright",,,"Aug 07, 2007",,Inactiv,,,2025-05-28 07:24:10.554000,,,,35,,,,
10537,Barbara Walker,Guest,Other,1980-03-13 00:00:00,2020-10-15 10:41:18.992000,Inactive,  Direct  ,Occasional Buyer,2025-08-17 13:34:32.104000,gina67@example.net,+4429 2018 0794,2025-03-02 00:00:00,,1958,  76  ,,ZW
10041,Erin Perry,Guest,Female,1953-01-05 00:00:00,2023-05-06 17:47:31.060000,Inactive,Organic Search,At Risk,2025-07-09 13:55:59.211000,scoffey@example.net,171.236.8516,2025-02-21 00:00:00,,,  48  ,41286.73,SO
10635,Jennifer Hart,Guest,Male,1970-09-15 00:00:00,2023-04-01 17:36:09.151000,Active,Organic Search,Churned,2025-01-22 05:44:20.053000,kyle29@example.com,+1-907-706-3369,,80,173,48,,VU
10090,,B2C,Other,,1748752668,,Direct,bronze,,,0019069231203x87509,2024-09-10 00:00:00,,  99999999  ,,,
10458,Tiffany Farmer,B2B,Prefer not to say,1973-03-07 00:00:00,2022-09-04 22:28:57.237000,Blocked,Google Ads,At Risk,2025-02-19 13:15:06.354000,daymartin@example.net,882-937-9312,2024-09-29 00:00:00,8,3378,66,21769.44,
10962,Max Wilson,  B2C  ,Prefer not to say,1963-08-19 00:00:00,2025-06-22 10:16:23.298000,Active,Twitter,High Value,2024-12-10 13:14:15.300000,nicholas15@example.net,(03)-2511-4978,2025-04-11 00:00:00,,3844,63,4700.28,
10735,Daniel Gray Jr.,B2B,Other,,2021-05-04 17:15:32,Blocked,Instagram,HV,2024-11-15 07:59:47.403000,lmedina@example.net,999-999-9999,1900-01-01,33,,200,,YE
10454,Debra Chandler,  B2B  ,Prefer not to say,1984-10-09 00:00:00,2022-03-26 16:49:15.607000,Inactive,Google Ads,  Churned  ,2024-11-29 02:09:36.699000,kayleighgriffiths@example.net,298 006 1558,2025-01-18 00:00:00,26,,54,,SI
10859,Jeremy Stafford,B2B,Prefer not to say,1953-10-01 00:00:00,  2024-12-27 05:20:00.221923  ,Blocked,Facebook,At Risk,2025-08-19 17:00:53.176000,sjones@example.org,538 687 9060,,45,1243,27,11092.85,UA
10505,Scott Gomez,  B2B  ,Other,1997-05-22 00:00:00,2025-06-02 18:36:38.568000,Blocked,LinkedIn,New Customer,2024-12-02 00:42:50.269000,bliu@example.com,823-290-2822,2025-07-22 00:00:00,74,4368,54,22657.36,BH
10948,Jennifer Hernandez,B2C,Male,1987-08-10 00:00:00,2021-04-06 10:16:52.447000,Active,referral,High Value,2025-04-28 02:28:30.497000,paynelindsay@example.org,020 74960886,2025-07-03 00:00:00,,,,,SE
10672,Renee Thompson,B2B,Other,1991-02-14 00:00:00,2024-11-14 14:53:21.829000,Active,Email Marketing,Occasional Buyer,2024-11-21 08:56:55.931000,johnsonsara@example.org,(201)483-6472x3875,,,,68,13023.99,
10522,Danny Mckenzie,Guest,Other,1979-03-19 00:00:00,2020-10-27 10:27:39.883000,Blocked,Twitter,New Customer,2025-07-10 14:15:40.047000,ericwilliams@example.org,(0113) 496 0430,,77,,56,45700.91,OM
10521,Brown Inc,,female,1966-05-17 00:00:00,,Inactiv,Email Marketing,,2025-04-23 15:37:31.286000,craigrachel@example.com,,,17.0,,,16303.98,CH
10767,Jonathan Hall,Guest,Female,1971-07-25 00:00:00,2025-08-17 13:50:11.585000,Inactive,Google Ads,Churned,  2025-04-21 13:06:02.378270  ,sbailey@example.com,0754434414,2025-06-10 00:00:00,,,46,,MY
10513,Melissa Osborn,Guest,Other,1968-04-12 00:00:00,2024-02-03 20:08:56.871000,Blocked,Facebook,  Occasional Buyer  ,2025-07-14 05:50:17.969000,rtaylor@example.org,  (08)-8677-5240  ,,69,433,53,32195.71,ID
10094,Michelle Miller,B2B,Female,  1968-08-17  ,  2024-05-22 01:22:23.426191  ,Blocked,LinkedIn,High Value,2025-01-19 00:01:15.874000,hahnsean@example.com,(312)267-8886,2025-04-14 00:00:00,,1269,29,17086.62,MH
10246,Candice Stevens,Guest,Female,2006-03-15 00:00:00,2024-07-19 19:46:17.885000,Inactive,Facebook,At Risk,2024-11-15 19:23:57.836000,apadilla@example.net,,,,1652,,,
10898,Teresa Moore,B2B,Other,1973-07-29 00:00:00,2020-09-25 15:39:12.778000,  Blocked  ,Referral,High Value,2025-04-05 09:36:27.183000,  wrightnicholas@example.com  ,(743)565-2405,2025-05-22,,292,,,IE
10085,Andrew Gonzales,Guest,  Prefer not to say  ,1992-03-19 00:00:00,2021-05-23 05:08:36.741000,Active,Organic Search,CHURNED,2024-12-03 18:48:47.178000,joel28@example.org,(07)-0892-6870,2025-06-22 00:00:00,,,40,,BA
10297,Emily Cooper,B2C,Male,2001-05-26 00:00:00,2024-03-11 04:15:42.265000,Active,Facebook,New Customer,2025-05-02 10:18:04.603000,pam63@example.com,3856628843,2024-09-16 00:00:00,70,,51,,TW
10355*,Miss Leslie Booker,B2B,Male,1960-02-15 00:00:00,2021-11-23 03:34:24.689000,Active,Twitter,At Risk,2024-12-28 19:30:50.100000,yrussell@example.net,001-276-947-5011x11783,2025-06-25 00:00:00,,747,,32428.82,MD
10146,Dr. Ashley Pruitt,B2B,  Male  ,1995-03-26 00:00:00,2021-08-06 07:36:08.280000,Blocked,Instagram,Churned,2025-06-20 20:10:35.945000,timothyfreeman@example.com,,2024-09-24 00:00:00,,1560,,46111.31,
10025,Hunter LLC,B2B,male,1998-03-18 00:00:00,,Active,Referral,,2024-10-17 19:20:16.279000,bzimmerman@example.org,,,,2174,,1380.03,VE
10799,Miss BÃ©th LÃ©Ã©s,B2B,Male,1961-10-14 00:00:00,2022-03-16 16:00:04.723000,Inactive,Instagram,Occasional Buyer,2024-10-27 07:08:27.527000,qwebb@example.com,0465-240-622,2025-04-19 00:00:00,,,20,,LI
10145,Mr Jacob Evans,Guest,Prefer not to say,1971-07-12 00:00:00,2021-03-01 18:50:18.243000,  Active  ,Direct,Churned,2024-09-12 18:59:41.093000,hughevans@example.com,855.216.6746,2024-10-19 00:00:00,38,1182,,37720.8,CF
10337,Paige Meyer,B2C@,Prefer not to say,1985-07-07 00:00:00,2024-06-10 22:54:54.766000,Active,Referral,At Risk,  2025-07-15 14:14:13.330015  ,,1 (633) 803-3968,2025-02-16 00:00:00,57.0,4712,32,,
10056,Meagan Calderon,Guest,Prefer not to say,1985-05-22 00:00:00,2023-03-26 21:36:34.625000,Active,Google Ads,At Risk,2025-01-19 16:39:12.914000,mauricemay@example.com,+44(0)117 496 0221,2025-05-08 00:00:00,,1261,,11235.03,BZ
10248,"May, Hoffman and Chase",,O,1958-10-09 00:00:00,,Bloked,Twitter,,2024-12-24 12:50:22.676000,petersonbrittany@example.org,,,,,,,TO
10147,Alexandria Oneill,B2C,Other,2006-04-18 00:00:00,2023-04-15 06:41:07.642000,Inactive,Google Ads,High Value,2025-02-14 08:27:01.133000,rward@example.net,02 0287 7217,  2025-08-29  ,,1735,48,,GY
10925,"Sullivan, Lewis and Rivera",B2B,  F  ,1979-07-29 00:00:00,,Blocked,Twitter,,2025-07-28 01:46:48.558000,,,,8,2613,,18073.99,
10421,Chad Koch,Guest,Other,2004-10-08 00:00:00,2021-05-27 19:05:45.693000,Inactive,Direct,  High Value  ,2025-02-14 01:27:46.524000,jeffery75@example.org,+61-8-1449-4296,  2025-06-29  ,,,29,,
10661,Hugh Birch,B2C,Other,1962-01-03 00:00:00,2025-07-04 21:15:15.426000,Inactive,Twitter,Churned,2025-05-30 00:22:25.224000,fbishop@example.com,(0909) 879 0996,,76,,76,  19456.9  ,VC
10996,Anna Green,B2C,Other,1951-05-20 00:00:00,2023-11-27 12:30:57.963000,Inactive,Email Marketing,High Value,2025-01-23 17:43:36.485566,fbutler@example.net,4004295616,2025-05-22 00:00:00,,,55,37461.27,MT
  10459  ,Eric Morgan,B2B,Other,1946-12-28 00:00:00,2025-01-17 16:48:33.446000,Blocked,Organic Search,New Customer,2025-05-19 10:04:00.550000,pedwards@example.org,278-811-6162 x028,  2024-11-19  ,,,,,
10263,Kristin Williams,B2B,Prefer not to say,1975-10-17 00:00:00,2022-02-09 05:31:07.099000,Active,LinkedIn,  High Value  ,2025-05-18 04:41:40.834000,,,2024-12-23 00:00:00,,2417,,8046.77,GR
10616,Tara Morrison,B2B,Female,1967-07-12 00:00:00,2025-07-25 04:25:52.274000,Active,Email Marketing,New Customer,2025-01-03 12:27:13.157000,,(393)691-3044,2025-06-10 00:00:00,15,,  28  ,47418.79,BZ
10628,Carly Rodgers,B2B,Other,1986-09-23 00:00:00,2021-07-20 12:42:48.459000,Inactive,Email Marketing,New Customer,2024-12-03 19:19:18.713000,jamesclark@example.org,207-392-0135 x462,,,1089,,,
10980,Richard Miller Jr.,2,,19630911,2023-12-24 05:55:21,Blocked,,hv,2024-10-23 20:38:00.583000,,,1900-01-01,,,,,
10527,David Gonzalez,Guest,  Female  ,2006-10-13 00:00:00,2022-05-22 16:41:48.685000,Blocked,Referral,Occasional Buyer,2025-03-19 14:18:15.257000,hendrixbrian@example.com,,2025-08-26 00:00:00,54,424,57,,DO
10412,Brian Clark,B2C,Prefer not to say,1992-08-06 00:00:00,2024-03-26 04:24:57.762000,Inactive,Organic Search,Churned,2025-07-15 21:52:55.015000,jefferycox@example.com,+44306 9990631,2025-05-17 00:00:00,,,,,NO
10196,  APRIL JOHNSON  ,B2C,Male,1982-03-22 00:00:00,2025-08-28 11:13:32.624000,  Active  ,LinkedIn,  High Value  ,2024-09-11 15:47:24.802000,,+44117 496 0504,2024-10-12 00:00:00,,3435,42,8948.05,
  10425  ,Johnson-Wagner,B2C,O,1948-03-12 00:00:00,,Blocked,Organic Search,,2024-12-27 19:16:08.859000,loriskinner@example.net,,,85,,,  18483.61  ,VA
10368,James Manning,Guest,Other,1954-10-15 00:00:00,2025-06-07 05:20:39.993000,Blocked,  Google Ads  ,New Customer,2024-10-22 15:30:51.441000,tmarsh@example.org,+1 (986) 211-0225,,,,  78  ,26255.02,
10004,Patty Perez,B2C,Other,1995-05-29 00:00:00,2022-01-11 05:55:50.698000,Inactive,Email Marketing,New Customer,2025-08-08 18:32:29.603000,dianafoster@example.net,07 2388 4969,2025-01-18 00:00:00,81,1799,52,8170.12,
10431,  Paula Russell  ,B2C,Prefer not to say,1966-02-25 00:00:00,2021-08-22 12:38:29.910000,Blocked,Instagram,Occasional Buyer,2025-04-05 13:56:11.701000,michael82@example.org,+61-8-1912-8411,2024-12-01 00:00:00,48,,73,16770.84,
10523,Yvette Lee,B2C,  Female  ,1998-02-08 00:00:00,2023-10-29 19:00:29.360000,Inactive,LinkedIn,Churned,2025-06-09 00:24:56.615000,ryan53@example.com,925.389.2187,2025-05-29,15,,22,44628.61,CA
10182,Isaac Grant,B2B,Prefer not to say,1966-05-15 00:00:00,2021-04-18 16:51:47.203000,  Inactive  ,Google Ads,High Value,2025-04-07 22:46:15.702000,owen58@example.com,6947.2256,2024-11-06 00:00:00,63,,22,19885.79,BN
10674,Matthew Allen,B2B,Male,1969-06-01 00:00:00,2024-04-13 00:55:05.610000,Inactive,Facebook,Churned,2025-05-02 23:48:32.063000,murphyrobin@example.org,,,,4647,38,22543.93,VC
10984,Paige Bond,B2B,Prefer not to say,1998-12-09 00:00:00,2020-11-22 07:20:34.025000,Blocked,Instagram,Churned,2025-06-20 10:13:40.595000,smithdanielle@example.com,,2025-03-25 00:00:00,96,,  46  ,,
10347,  Frances Andrews  ,B2B,Other,  1945-09-26  ,2025-01-21 08:45:18.355000,Inactive,LinkedIn,occasional buyer,2025-05-14 20:46:33.721000,nmatthews@example.org,,2025-09-04 00:00:00,17,,73,,NP
10855,George Garner123@,Guest,Other,,1621204700,ACTIVE,Direct,Silver,2025-08-06 02:31:21.725000,lindsay23@example.net,,,,,,19251.5,TM
10927,Mr Leigh Cole,B2B,Other,1958-02-02 00:00:00,2021-09-28 09:49:33.178000,Inactive,Twitter,Churned,2024-12-23 20:21:14.500000,mistydorsey@example.com,,2025-08-16 00:00:00,19,,  19  ,39413.27,DK
10978,lynda bowen-mcdonald,B2C,Prefer not to say,1979-07-24 00:00:00,2025-09-02 22:45:43.511000,Inactive,Email Marketing,Churned,2025-01-03 20:41:28.882000,  ebrown@example.net  ,391.538.6015x7117,,,,27,,MA
10606,Corey Jones,B2C,Other,1997-09-05 00:00:00,2022-08-21 17:04:33.512000,Blocked,Referral,At Risk,2025-02-25 13:10:25.684079,shannon56@example.net,,2025-08-24 00:00:00,68.0,3298,66,17258.64,
10809,Todd Frank,B2C,Female,1983-09-14 00:00:00,2023-08-09 16:18:00.513000,Active,Direct,Occasional Buyer,2024-11-10 14:29:40.304000,,859-582-8190 x221,2025-07-05 00:00:00,71,,55,29761.54,ES
10611,Christopher Martinez,Guest@,Male,2004-10-06 00:00:00,2024-08-01 07:06:58.729000,Blocked,Twitter,Occasional Buyer,2025-08-27 18:25:38.137000,gmorgan@example.net,0417 941 515,2025-03-26 00:00:00,6,,,,MW
10230,  Dr Russell Welch  ,B2B,Prefer not to say,1986-04-23 00:00:00,2021-09-29 08:46:03.567000,Active,LinkedIn,At Risk,2024-09-29 02:24:58.504000,,702.767.4783,,,,33,,PY
10249,James White,Guest,Other,1951-07-31 00:00:00,2021-04-01 21:04:20.588000,Inactive,  Facebook  ,High Value,2025-03-09 12:54:28.859000,HARRISJILL@EXAMPLE.NET,0161 4960567,2024-12-23 00:00:00,34,761,,  16433.04  ,
10435,  Danielle Brown  ,B2B,Female,,2021-04-28 16:58:30.122000,Blocked,Google Ads,Occasional Buyer,2024-12-21 11:22:40.657000,carrie34@example.org,+61211483753,2025-05-27 00:00:00,45,,,,
10236,Samuel Peterson,B2B,Female,  1992-08-06  ,2023-12-06 07:08:25.856000,Blocked,Google Ads,Churned,2025-03-30 18:36:30.078000,kentprice@example.org,917-320-3093 x761,2025-08-27 00:00:00,,4379,20,49737.69,SB
10177,Brandon Nunez,Guest,  Prefer not to say  ,1949-06-24 00:00:00,2023-01-27 14:01:23.270000,Blocked,LinkedIn,High Value,  2024-11-28 02:06:27.782382  ,staceyvega@example.org,03.3433.3395,2025-08-10 00:00:00,54,,52,  2080.53  ,CD
