customer_id,gender,date_of_birth,account_status,city,state_province,postal_code,country,account_created_at,last_login_date,is_active
79,Female,1957-06-18,Active,Springfield,NU,,CA,2025-08-14 21:57:21,2025-12-03,True
91,Male,1948-10-19,Inactive,Tacoma,WA,11461,US,2018-02-27 14:24:25,2025-07-26,False
231,Male,1970-12-24,Active,Salem,OR,57109,US,2024-12-30 16:49:42,2025-02-23,True
401,Female,1991-02-10,Active,Madison,OK,51854,US,2025-04-24 21:30:45,2025-09-18,True
218,Prefer Not To Say,1966-10-03,Active,Montreal,QC,,CA,2019-07-01 13:54:39,2025-01-10,True
246,Female,1980-08-09,Inactive,Georgetown,NT,,CA,2018-07-22 08:12:53,2025-01-02,False
468,Male,1967-12-22,Inactive,Clinton,IA,66958,US,2021-02-03 02:54:55,2024-02-29,False
273,Female,1993-05-13,Active,Greensboro,NC,78594,US,2018-05-25 04:37:00,2025-08-14,True
361,Female,1958-06-26,Active,Fairview,NT,,CA,2025-09-09 05:56:12,2025-12-11,True
383,Male,2005-08-13,Active,Georgetown,ME,79559,US,2019-10-27 10:45:03,2025-05-01,True
393,Male,1942-04-30,Active,Winston-Salem,NC,13786,US,2024-03-13 09:20:27,2025-06-22,True
25,Female,2000-05-06,Inactive,Winston-Salem,NC,24293,US,2024-09-18 00:08:00,2025-03-20,False
192,Male,1983-10-03,Closed,Chester,YT,,CA,2022-05-20 22:57:06,2024-07-17,False
237,Female,1955-08-01,Active,Columbus,OH,54657,US,2019-11-13 16:51:50,2025-09-17,True
300,Male,1947-02-01,Inactive,Franklin,AL,54741,US,2017-09-17 13:39:23,2022-08-17,False
349,Female,1978-10-02,Inactive,Reading,PA,53260,US,2016-03-20 02:48:10,2018-08-04,False
384,Male,1970-12-25,Active,Clinton,ND,28117,US,2017-03-25 21:51:55,2025-09-14,True
230,Male,1996-09-06,Active,Seattle,WA,22352,US,2022-11-05 22:25:25,2025-06-07,True
303,Male,2007-04-17,Active,Denver,CO,11136,US,2021-09-29 15:20:39,2025-02-15,True
344,Male,1947-07-08,Active,Seattle,WA,58333,US,2022-09-02 12:08:13,2025-08-05,True
32,Female,1995-02-10,Inactive,Grand Rapids,MI,97833,US,2024-10-16 04:21:05,2025-08-11,False
250,Female,1964-08-22,Active,Georgetown,RI,81226,US,2021-11-17 12:40:37,2025-08-27,True
496,Male,1983-09-09,Active,Chandler,AZ,71699,US,2025-03-21 18:41:17,2025-11-14,True
149,Female,2000-04-04,Active,Springfield,NS,,CA,2021-03-18 21:34:36,2025-04-29,True
276,Female,1979-10-19,Active,Bristol,ND,23489,US,2022-07-19 09:06:59,2025-05-12,True
23,Male,1952-11-23,Active,San Francisco,CA,39571,US,2023-10-27 17:56:23,2025-03-29,True
57,Male,1947-03-31,Active,Akron,OH,64827,US,2024-03-08 13:43:31,2025-10-15,True
238,Male,1951-08-15,Active,Riverside,ME,80047,US,2020-08-04 07:03:38,2025-03-23,True
213,Male,1942-07-31,Active,Clinton,NE,37621,US,2019-01-24 17:30:08,2025-10-29,True
307,Female,1957-09-24,Active,Riverside,DE,34667,US,2020-04-05 09:46:43,2025-02-24,True
269,Female,1985-01-25,Active,Salem,WV,82098,US,2017-08-19 12:58:34,2025-10-19,True
4,Male,1988-08-14,Inactive,Chester,WI,26483,US,2025-04-20 00:38:20,2025-08-23,False
168,Female,1955-02-10,Active,Bristol,ME,13667,US,2025-08-02 17:23:58,2025-11-25,True
113,Other,1961-05-19,Active,Salem,AR,68407,US,2023-05-21 20:54:38,2025-12-20,True
131,Female,1970-12-15,Closed,Clinton,MO,49173,US,2022-08-24 09:25:03,2024-06-02,False
256,Female,1997-02-09,Active,Georgetown,MD,91854,US,2020-04-03 19:10:04,2025-06-29,True
314,Male,1981-01-04,Active,Clinton,VT,87759,US,2021-10-07 20:42:32,2025-06-01,True
77,Male,1992-05-18,Active,Fairview,ID,11109,US,2023-09-30 06:54:14,2025-01-27,True
80,Female,1955-04-03,Active,Chester,YT,,CA,2020-06-28 02:08:39,2025-05-16,True
51,Prefer Not To Say,1975-03-27,Closed,Hamilton,ON,,CA,2023-10-24 16:20:44,2024-12-24,False
138,Female,1972-09-06,Inactive,Bristol,ME,91389,US,2025-01-25 08:32:43,2025-08-29,False
208,Male,1964-01-03,Closed,Fairview,IN,92549,US,2025-11-23 00:34:42,2025-11-24,False
242,Male,1942-09-24,Active,Georgetown,RI,44410,US,2024-09-03 12:24:28,2025-12-02,True
37,Male,1989-10-04,Active,Georgetown,DE,67272,US,2020-04-23 08:02:48,2025-01-27,True
94,Male,1964-10-03,Active,Madison,ND,44513,US,2019-02-22 07:02:42,2025-09-11,True
200,Female,2008-06-29,Active,Springfield,KY,77314,US,2023-09-01 05:22:51,2025-01-11,True
311,Male,2003-11-24,Inactive,Franklin,NJ,68547,US,2017-01-03 09:16:13,2018-08-16,False
406,Male,1998-08-04,Active,Mesa,AZ,39807,US,2022-10-30 01:05:07,2025-03-05,True
439,Female,1986-07-27,Active,Georgetown,RI,64278,US,2022-09-04 11:04:39,2025-07-17,True
34,Female,1988-12-12,Inactive,Salem,ME,75916,US,2017-09-06 09:51:50,2022-12-10,False
270,Other,1941-05-04,Active,Chester,SC,20552,US,2020-12-21 10:48:29,2025-01-23,True
450,Female,1944-07-03,Active,Riverside,ID,89821,US,2019-03-28 04:50:49,2025-10-21,True
20,Male,1953-04-15,Closed,Chester,NU,,CA,2024-09-09 02:17:49,2025-04-09,False
340,Male,1977-02-22,Active,Salem,NJ,52233,US,2017-05-19 05:12:39,2025-02-01,True
221,Male,1979-03-31,Active,Fairview,ME,23005,US,2020-11-12 10:07:59,2025-09-26,True
281,Male,1958-11-10,Active,Clinton,WI,25775,US,2017-04-22 12:37:52,2025-10-22,True
394,Other,2001-08-15,Active,Georgetown,WI,90382,US,2019-10-09 05:54:11,2025-10-25,True
415,Prefer Not To Say,2008-09-06,Active,Aurora,CO,46535,US,2024-05-06 05:00:03,2025-09-25,True
209,Female,1947-04-09,Inactive,Riverside,RI,59528,US,2016-08-10 02:27:15,2021-09-16,False
253,Female,1942-11-06,Inactive,Madison,MD,70149,US,2015-03-02 23:53:34,2021-12-13,False
21,Male,1971-05-31,Inactive,Bristol,VA,80912,US,2021-12-27 22:25:41,2022-06-10,False
285,Prefer Not To Say,1984-10-05,Active,Riverside,NJ,25765,US,2023-08-29 17:29:42,2025-11-06,True
443,Male,1995-09-18,Inactive,Franklin,WV,10279,US,2021-08-30 19:17:36,2025-07-15,False
457,Female,1962-09-03,Active,Springfield,OR,79614,US,2023-10-30 18:05:00,2025-08-20,True
107,Male,1985-10-02,Active,Springfield,MO,25985,US,2019-03-02 14:44:50,2025-12-09,True
186,Female,1979-06-05,Closed,Springfield,MS,18825,US,2016-05-09 07:13:06,2020-05-08,False
28,Male,1971-07-12,Inactive,Tacoma,WA,84395,US,2018-12-08 00:11:55,2020-07-16,False
126,Female,1975-04-10,Inactive,Riverside,AL,94985,US,2019-11-18 17:13:42,2021-10-29,False
204,Male,2002-06-11,Active,Riverside,LA,44541,US,2018-01-31 01:43:53,2025-07-02,True
354,Male,1953-09-25,Active,Franklin,VA,58268,US,2022-10-24 12:39:43,2025-07-27,True
446,Prefer Not To Say,1986-03-07,Active,Franklin,SK,,CA,2022-10-16 03:22:37,2025-05-24,True
17,Male,1968-04-19,Blocked,Madison,NH,87139,US,2015-12-15 07:07:35,2024-07-11,False
257,Male,1960-06-16,Active,Clinton,DE,83419,US,2016-01-10 19:09:09,2025-10-02,True
486,Male,1998-11-30,Inactive,Salem,RI,51032,US,2017-08-02 03:08:53,2020-08-09,False
260,Male,1956-03-25,Active,Madison,MO,,US,2023-11-05 00:13:40,2025-06-16,True
337,Female,1959-02-19,Blocked,Springfield,YT,,CA,2017-05-14 04:21:43,2024-10-02,False
345,Female,1978-02-16,Active,Bristol,LA,61196,US,2016-03-28 09:09:18,2025-08-03,True
308,Female,1985-05-08,Active,Montreal,QC,,CA,2018-11-10 23:03:39,2025-05-19,True
75,Female,1984-08-08,Active,Springfield,NS,,CA,2021-06-01 19:30:02,2025-09-28,True
167,Female,1950-06-25,Active,Salem,ND,87101,US,2018-09-04 16:37:12,2025-06-24,True
487,Female,1996-11-08,Closed,Franklin,MT,65515,US,2023-12-08 03:37:08,2024-06-10,False
5,Male,1992-04-08,Active,Salem,AR,54473,US,2021-06-18 15:15:50,2025-04-27,True
114,Female,1999-07-22,Active,Naperville,IL,55157,US,2021-05-29 06:35:39,2025-03-31,True
304,Female,1949-09-30,Active,Bristol,AK,98049,US,2023-06-23 01:08:56,2025-06-12,True
134,Male,2003-02-03,Closed,Clinton,OK,35153,US,2016-07-03 19:11:45,2022-02-10,False
141,Female,1977-01-26,Active,Houston,TX,77081,US,2021-12-04 07:28:22,2025-11-07,True
190,Other,1960-02-10,Active,Victoria,BC,,CA,2017-01-30 06:03:47,2025-09-22,True
245,Female,1943-11-01,Closed,Chester,WY,86216,US,2016-10-18 11:02:18,2018-06-25,False
463,Male,1962-04-02,Active,Buffalo,NY,27899,US,2019-05-21 13:46:08,2025-11-20,True
485,Female,1972-04-21,Active,Richmond,BC,,CA,2025-09-25 06:15:13,2025-12-02,True
54,Female,1961-04-20,Active,Reno,NV,84167,US,2018-05-13 21:52:54,2025-11-14,True
105,Other,1949-01-27,Active,Bristol,WI,49270,US,2019-12-15 09:23:26,2025-08-13,True
124,Female,1951-03-03,Active,Toledo,OH,62535,US,2018-12-10 15:29:54,2025-09-29,True
318,Male,1957-12-08,Inactive,Salem,WI,49696,US,2023-01-12 00:57:50,2025-11-10,False
380,Female,1994-02-05,Active,Erie,PA,12239,US,2017-03-04 22:54:23,2025-06-29,True
341,Female,1990-07-11,Active,Madison,SK,,CA,2023-02-21 10:07:39,2025-12-09,True
453,Male,1986-06-09,Active,Riverside,ID,68349,US,2020-12-31 05:51:58,2025-03-14,True
346,Male,1968-11-14,Inactive,Bristol,MB,,CA,2023-05-16 12:01:04,2024-12-16,False
360,Male,2005-12-24,Active,Bristol,AK,43455,US,2020-05-12 01:06:42,2025-06-18,True
477,Male,2002-04-13,Blocked,Atlanta,GA,52186,US,2019-04-09 02:27:39,2020-08-05,False
46,Male,1944-04-19,Blocked,Chester,TN,78723,US,2024-05-18 12:50:31,2024-11-25,False
90,Female,1959-06-26,Active,San Jose,CA,39837,US,2021-01-11 22:56:47,2025-05-17,True
305,Female,1996-10-30,Inactive,Bristol,KY,66747,US,2024-12-28 18:26:10,2025-07-03,False
497,Male,1977-02-14,Active,Winston-Salem,NC,20497,US,2023-07-23 05:36:59,2025-01-12,True
30,Female,1980-03-21,Closed,Naperville,IL,56019,US,2024-06-21 03:15:27,2025-04-18,False
70,Female,2010-11-20,Active,Dallas,TX,44934,US,2024-08-30 01:51:30,2025-03-28,True
119,Male,1981-01-27,Inactive,Toronto,ON,,CA,2018-03-28 20:11:07,2019-09-18,False
211,Female,1961-03-01,Active,Riverside,NB,,CA,2015-04-09 07:27:24,2025-10-10,True
225,Male,1968-12-29,Inactive,Salem,RI,66270,US,2016-11-09 06:46:31,2021-09-19,False
364,Female,1977-12-04,Closed,Jacksonville,FL,63955,US,2022-01-12 04:03:46,2024-02-05,False
434,Female,1999-06-16,Closed,Riverside,ME,71055,US,2018-07-09 22:45:57,2020-02-06,False
217,Male,1979-09-12,Active,Fort Collins,CO,22335,US,2015-06-13 22:49:43,2025-06-10,True
392,Female,1946-08-04,Active,Salem,AR,73636,US,2017-07-19 19:34:48,2025-03-16,True
471,Other,1985-09-11,Inactive,Salem,MD,16029,US,2023-04-01 13:27:48,2024-02-27,False
498,Female,1942-10-08,Active,Fairview,KY,79533,US,2016-04-07 09:22:49,2025-03-11,True
334,Female,1993-05-01,Active,Sacramento,CA,89451,US,2015-12-04 01:39:00,2025-09-17,True
376,Male,1960-07-13,Inactive,Salem,SK,,CA,2025-05-20 18:41:37,2025-07-06,False
111,Male,1992-03-06,Active,Greensboro,NC,96184,US,2022-01-05 05:35:47,2025-03-14,True
135,Female,2001-10-06,Active,Henderson,NV,38333,US,2025-01-27 10:14:49,2025-10-29,True
152,Female,1973-08-24,Closed,Madison,ND,75070,US,2022-07-14 21:56:05,2023-08-25,False
500,Male,1978-03-28,Active,Franklin,PE,,CA,2021-03-03 05:41:55,2025-07-26,True
84,Male,2001-11-10,Active,Salem,UT,29484,US,2020-11-19 23:36:46,2025-03-11,True
67,Prefer Not To Say,1974-10-18,Active,Hamilton,ON,,CA,2024-07-09 23:46:19,2025-11-02,True
244,Male,1986-07-02,Active,Springfield,VA,88719,US,2024-08-25 14:37:20,2025-12-04,True
317,Female,1997-02-12,Active,London,ON,,CA,2016-08-17 19:21:34,2025-02-05,True
169,Female,1948-09-05,Active,Fairview,VA,68226,US,2017-02-27 19:34:36,2025-11-28,True
327,Female,1943-01-01,Active,Franklin,NU,,CA,2019-05-12 18:22:23,2025-06-12,True
121,Female,2007-08-30,Blocked,Georgetown,AK,59183,US,2020-12-18 16:19:36,2025-01-11,False
390,Prefer Not To Say,2008-12-04,Active,Georgetown,KY,82914,US,2025-12-24 07:22:42,2025-12-25,True
279,Female,1985-03-07,Active,Chicago,IL,99647,US,2018-03-03 18:21:40,2025-11-21,True
460,Male,1965-12-31,Active,Bristol,DE,44849,US,2025-07-11 19:32:29,2025-10-17,True
291,Male,2000-07-15,Active,Bristol,IA,15344,US,2019-07-16 08:09:45,2025-07-04,True
323,Male,1971-09-04,Inactive,San Diego,CA,92460,US,2018-05-28 17:38:20,2021-11-11,False
398,Female,1980-07-24,Inactive,Cincinnati,OH,18645,US,2020-04-26 16:18:32,2021-01-26,False
140,Male,1991-07-03,Active,Georgetown,NJ,30454,US,2022-12-06 01:42:20,2025-07-01,True
191,Other,1995-04-06,Active,Georgetown,AR,53287,US,2019-10-26 10:23:43,2025-07-02,True
48,Female,1948-01-18,Active,New York,NY,76895,US,2025-04-15 18:07:03,2025-05-27,True
150,Female,1978-12-10,Active,Georgetown,IN,75107,US,2021-05-15 16:57:26,2025-08-10,True
183,Male,1963-03-09,Active,Fairview,MT,32954,US,2020-11-23 10:58:36,2025-04-18,True
240,Female,1974-11-19,Active,Riverside,IA,87151,US,2022-10-19 04:27:44,2025-05-20,True
387,Female,2000-05-20,Closed,Riverside,WI,69151,US,2020-09-12 00:52:52,2021-02-03,False
458,Female,2008-06-09,Closed,Riverside,DE,59785,US,2023-11-04 02:23:40,2024-08-28,False
206,Female,1958-03-28,Active,Franklin,AK,88532,US,2019-09-09 17:45:16,2025-03-14,True
264,Male,1975-07-01,Active,Riverside,NJ,55388,US,2022-05-02 05:27:09,2025-08-01,True
146,Male,1965-12-04,Blocked,Philadelphia,PA,79315,US,2025-08-22 18:22:22,2025-09-12,False
288,Male,1966-03-06,Active,Buffalo,NY,87474,US,2024-06-12 23:46:17,2025-08-19,True
343,Male,1950-05-11,Closed,Medicine Hat,AB,,CA,2022-01-27 00:30:13,2022-10-13,False
480,Male,1952-01-12,Blocked,Franklin,WY,67973,US,2019-01-21 12:51:16,2024-06-12,False
156,Male,1970-11-26,Active,Springfield,OK,86085,US,2025-06-10 07:30:58,2025-09-26,True
232,Male,1972-08-22,Active,Spokane,WA,66629,US,2022-05-28 00:03:16,2025-10-15,True
427,Male,1946-01-05,Active,Worcester,MA,11776,US,2018-01-17 12:43:50,2025-04-17,True
465,Male,1993-10-07,Active,Georgetown,TN,51393,US,2018-01-10 02:09:46,2025-01-19,True
164,Female,1986-03-17,Active,Macon,GA,89205,US,2015-05-11 02:21:27,2025-10-27,True
173,Male,1980-12-03,Active,Springfield,MS,46799,US,2015-02-08 07:47:01,2025-08-04,True
321,Male,1991-01-14,Active,Joliet,IL,96489,US,2022-11-15 13:04:04,2025-11-10,True
431,Prefer Not To Say,1998-01-03,Active,Franklin,ND,70643,US,2021-05-05 20:22:08,2025-03-09,True
153,Female,1951-03-05,Active,Springfield,WV,98027,US,2018-07-20 17:27:30,2025-01-10,True
137,Male,1995-12-28,Inactive,Georgetown,UT,16758,US,2021-01-30 18:50:13,2025-07-02,False
71,Female,1941-02-06,Active,Franklin,AK,86888,US,2018-09-20 19:12:51,2025-10-20,True
219,Male,1971-10-05,Active,Georgetown,AR,66375,US,2021-10-11 15:13:44,2025-04-25,True
50,Male,2009-09-18,Closed,Springfield,RI,68515,US,2023-05-04 01:51:42,2024-07-06,False
181,Female,1948-09-28,Active,Austin,TX,54541,US,2018-07-06 06:27:49,2025-01-01,True
248,Male,1991-08-26,Active,Fairview,LA,90671,US,2020-10-21 16:37:32,2025-05-21,True
419,Female,1988-09-25,Inactive,Tacoma,WA,58469,US,2017-08-24 07:15:16,2019-11-30,False
448,Female,1962-10-19,Active,Franklin,RI,96885,US,2018-03-29 14:33:40,2025-07-02,True
63,Female,1955-10-06,Active,Reno,NV,28327,US,2019-12-08 11:46:13,2025-02-07,True
64,Prefer Not To Say,1993-09-25,Inactive,Savannah,GA,20957,US,2015-10-04 00:16:13,2016-03-15,False
128,Male,1947-12-08,Active,Clinton,VT,73559,US,2024-07-19 08:16:08,2025-02-12,True
148,Female,1950-09-25,Active,Savannah,GA,91522,US,2016-05-15 08:31:31,2025-08-29,True
205,Female,1973-08-28,Active,Henderson,NV,43064,US,2018-02-23 11:45:26,2025-08-20,True
286,Female,1988-11-14,Active,Salem,SC,36502,US,2019-01-25 17:14:44,2025-03-28,True
371,Male,1973-11-09,Inactive,Fairview,MD,25725,US,2015-04-16 20:31:33,2018-03-28,False
82,Female,1950-06-14,Inactive,Springfield,HI,81845,US,2020-09-26 23:39:07,2022-04-28,False
85,Female,1995-03-31,Active,Bristol,RI,96136,US,2025-10-20 19:40:19,2025-10-21,True
408,Female,1997-08-13,Active,Aurora,CO,62044,US,2025-11-13 09:25:58,2025-12-17,True
416,Male,1971-12-10,Closed,Riverside,RI,64488,US,2023-01-08 19:14:59,2025-05-06,False
454,Male,1984-01-28,Active,Madison,MO,77449,US,2017-07-22 18:01:34,2025-08-28,True
29,Female,1976-07-01,Active,Winston-Salem,NC,97562,US,2021-09-20 01:00:13,2025-07-23,True
115,Male,2003-07-12,Active,Clinton,NT,,CA,2023-06-13 08:03:29,2025-01-23,True
339,Male,2006-08-15,Active,Madison,WI,50565,US,2022-07-04 05:42:18,2025-01-15,True
430,Male,1984-08-31,Active,Franklin,AL,65163,US,2024-01-21 12:17:18,2025-03-12,True
24,Other,1998-01-16,Active,Georgetown,NJ,97881,US,2024-03-28 14:58:44,2025-07-24,True
296,Other,1954-12-20,Active,Joliet,IL,15451,US,2021-11-16 10:29:59,2025-01-22,True
424,Male,1976-02-05,Active,Dallas,TX,40753,US,2016-12-21 23:01:38,2025-01-29,True
297,Male,1980-01-29,Active,Tucson,AZ,21689,US,2019-03-25 02:31:01,2025-04-17,True
476,Female,1996-04-06,Active,Springfield,IA,68642,US,2020-04-09 04:08:57,2025-09-13,True
176,Male,1952-06-29,Inactive,Fairview,MD,54944,US,2018-06-30 18:27:32,2025-10-21,False
319,Female,1974-09-04,Active,Chester,NT,,CA,2017-05-03 09:27:39,2025-02-27,True
163,Female,1960-10-01,Active,Franklin,NM,91506,US,2021-08-04 21:21:58,2025-02-20,True
338,Male,1944-09-04,Active,Madison,WY,88675,US,2017-06-27 14:15:25,2025-12-24,True
73,Male,2006-07-12,Active,Bristol,RI,36171,US,2025-07-29 08:42:18,2025-10-09,True
172,Female,1955-07-10,Active,Georgetown,NS,,CA,2023-04-16 17:36:04,2025-07-24,True
251,Female,1986-07-27,Active,Mesa,AZ,68672,US,2017-05-31 13:03:35,2025-07-12,True
252,Female,1989-01-29,Active,Riverside,ND,75732,US,2017-03-23 05:53:34,2025-06-06,True
330,Male,1982-10-10,Active,Georgetown,AR,70960,US,2019-03-02 06:29:08,2025-05-26,True
109,Female,1984-07-30,Active,Riverside,MB,,CA,2022-12-04 14:35:18,2025-03-23,True
125,Female,2004-11-27,Active,Georgetown,MO,74788,US,2024-05-02 15:07:37,2025-02-23,True
283,Male,1997-02-20,Active,Medicine Hat,AB,,CA,2019-03-09 08:39:20,2025-12-10,True
367,Other,1954-03-09,Active,Austin,TX,11944,US,2024-08-23 00:23:48,2025-12-23,True
472,Female,1965-03-23,Active,Franklin,MD,26456,US,2023-11-11 19:18:30,2025-04-29,True
157,Male,1952-02-18,Inactive,Fort Worth,TX,37839,US,2018-12-02 02:13:55,2022-02-07,False
47,Female,1979-05-30,Active,Bellevue,WA,11498,US,2020-10-11 10:05:25,2025-01-16,True
102,Male,1957-03-06,Active,Franklin,AL,65249,US,2021-05-29 04:36:43,2025-08-29,True
142,Female,1959-09-06,Active,Franklin,WI,36117,US,2018-05-27 15:55:33,2025-07-06,True
177,Female,1996-04-24,Active,Quebec City,QC,,CA,2018-05-12 13:21:10,2025-11-02,True
410,Male,2009-04-02,Active,Clinton,WI,58994,US,2023-11-02 02:04:34,2025-07-24,True
456,Male,1942-01-22,Closed,Georgetown,MS,29373,US,2024-12-14 00:47:50,2025-10-03,False
16,Male,1963-08-05,Active,Bristol,WV,46241,US,2017-08-02 03:46:12,2025-07-16,True
61,Female,1989-05-17,Active,Franklin,MB,,CA,2016-11-20 10:45:18,2025-07-30,True
112,Female,1965-10-18,Closed,Salem,OR,84588,US,2025-04-22 17:32:35,2025-09-16,False
247,Male,1992-09-18,Active,Chandler,AZ,13136,US,2020-07-17 20:56:49,2025-09-15,True
299,Female,2012-01-08,Active,Chester,ME,47544,US,2025-09-11 02:11:34,2025-11-13,True
310,Prefer Not To Say,1961-07-30,Inactive,Franklin,NT,,CA,2022-12-10 18:39:15,2024-05-04,False
117,Male,1965-04-01,Inactive,Springfield,WY,89682,US,2025-08-28 13:14:47,2025-11-21,False
298,Male,1960-04-13,Inactive,Springfield,SC,15928,US,2016-02-09 14:11:57,2018-08-05,False
432,Male,2000-01-07,Active,Chester,WY,86367,US,2022-11-05 17:10:09,2025-09-01,True
99,Male,1987-04-26,Inactive,Springfield,ND,18993,US,2022-10-31 07:39:10,2023-01-12,False
154,Female,1941-04-25,Inactive,Cambridge,MA,72700,US,2019-06-30 06:40:19,2023-01-06,False
355,Female,1943-02-16,Active,London,ON,,CA,2022-07-01 02:30:24,2025-07-20,True
171,Male,1962-01-04,Active,Savannah,GA,80836,US,2025-03-31 00:17:35,2025-11-03,True
233,Female,1978-05-22,Active,Greensboro,NC,71391,US,2021-03-20 06:19:19,2025-11-11,True
328,Female,2005-12-03,Active,Springfield,HI,71481,US,2020-12-01 04:34:59,2025-09-20,True
83,Female,1982-09-10,Closed,Springfield,WI,11267,US,2015-07-25 03:52:11,2016-01-02,False
197,Male,1989-04-06,Closed,Clinton,WI,96321,US,2017-01-27 12:52:44,2017-04-18,False
161,Male,1973-05-27,Blocked,Clinton,TN,67119,US,2022-09-29 21:44:43,2024-12-16,False
267,Female,1958-03-26,Active,Madison,ID,75740,US,2021-05-27 08:19:39,2025-04-06,True
274,Female,1988-01-23,Blocked,Chester,LA,80091,US,2025-01-26 07:47:12,2025-08-01,False
461,Male,1972-04-27,Active,Madison,WI,18688,US,2017-12-19 05:02:59,2025-08-12,True
229,Female,1983-10-07,Active,Salem,AR,65389,US,2022-06-04 16:28:22,2025-08-11,True
294,Male,1993-09-09,Active,Franklin,WI,33755,US,2018-07-12 00:39:03,2024-12-25,True
365,Female,1955-10-11,Active,Salem,MN,25894,US,2022-08-09 03:05:38,2025-10-02,True
412,Male,1944-08-12,Inactive,Chester,NE,43197,US,2022-03-19 13:53:43,2022-06-23,False
203,Male,1957-05-20,Active,Georgetown,NE,14142,US,2021-01-06 08:06:28,2025-01-22,True
159,Female,1968-11-10,Active,Reno,NV,90460,US,2025-02-18 21:38:08,2025-06-25,True
223,Female,1952-05-16,Active,Fairview,AK,81260,US,2020-08-27 03:40:36,2025-06-08,True
78,Male,1971-03-18,Active,Clinton,ND,17441,US,2018-02-06 20:20:55,2025-08-06,True
88,Male,2003-06-29,Inactive,Madison,AL,36619,US,2019-09-16 22:42:03,2023-12-27,False
147,Male,1952-02-17,Active,Clinton,NH,82602,US,2020-03-23 03:33:08,2025-04-15,True
475,Female,1990-10-23,Active,Springfield,SC,76496,US,2019-08-27 01:49:47,2025-11-01,True
11,Male,2001-10-21,Inactive,Chester,IN,72021,US,2023-05-23 05:39:36,2024-03-26,False
56,Male,1946-09-19,Active,Georgetown,MT,91289,US,2016-11-15 13:17:26,2025-07-25,True
309,Female,1942-07-06,Active,North Las Vegas,NV,30948,US,2019-05-22 15:09:17,2025-07-05,True
481,Female,1995-03-16,Inactive,Fairview,NT,,CA,2016-05-28 06:57:33,2021-03-30,False
262,Female,1962-01-22,Active,Franklin,OR,27025,US,2023-07-23 16:06:26,2025-05-21,True
