cart_item_id,cart_id,product_id,quantity,unit_price,total_price,added_at,updated_at,item_status,cart_age_time
31,12,27,1,266.52,266.52,2025-12-13 22:08:55,2025-12-18 19:28:20,Deleted,3318369
33,13,18,1,397.05,397.05,2024-09-15 21:46:49,2024-09-16 01:38:16,Abandoned,42545295
35,13,203,1,94.19,94.19,2024-09-15 21:09:32,2024-09-15 22:01:07,Abandoned,42547532
37,14,111,1,1148.98,1148.98,2023-07-31 09:29:23,2023-08-01 04:28:38,Active,78186341
38,15,489,2,150.92,301.84,2025-03-12 07:52:45,2025-03-12 15:44:20,Abandoned,27216139
39,15,499,1,114.7,114.7,2025-03-12 05:16:06,2025-03-12 07:48:15,Abandoned,27225538
41,15,495,1,76.86,76.86,2025-03-12 06:44:03,2025-03-12 09:16:59,Active,27220261
42,15,6,2,119.78,239.56,2025-03-11 20:02:52,2025-03-12 03:43:50,Active,27258732
43,16,463,2,43.99,87.98,2019-04-17 00:31:54,2019-04-17 00:31:54,Active,213520990
44,16,275,3,28.51,85.53,2019-04-17 00:31:54,2019-04-17 00:31:54,Abandoned,213520990
47,17,201,3,368.57,1105.71,2023-11-12 14:24:52,2023-11-12 18:29:50,Active,69183012
49,17,259,4,146.12,584.48,2023-11-12 16:37:34,2023-11-12 22:10:43,Abandoned,69175050
50,18,71,2,110.38,220.76,2025-12-05 07:41:21,2025-12-05 07:41:21,Abandoned,4061623
51,18,331,1,45.91,45.91,2025-12-05 07:41:21,2025-12-05 07:41:21,Abandoned,4061623
53,18,372,1,221.0,221.0,2025-12-05 07:41:21,2025-12-05 07:41:21,Active,4061623
55,19,147,5,64.35,321.75,2021-04-20 14:43:02,2021-04-21 18:51:49,Active,150052322
56,19,276,1,179.81,179.81,2021-04-19 05:40:02,2021-04-20 22:08:09,Active,150171302
57,20,419,4,45.56,182.24,2022-02-18 05:33:07,2022-02-18 06:02:40,Abandoned,123819717
58,20,461,1,711.37,711.37,2022-02-18 03:54:15,2022-02-18 06:15:19,Abandoned,123825649
59,20,362,2,182.97,365.94,2022-02-18 06:48:37,2022-02-18 11:01:09,Abandoned,123815187
60,21,397,2,214.11,428.22,2025-12-21 04:06:44,2025-12-21 05:21:42,Abandoned,2692100
62,21,157,3,278.27,834.81,2025-12-21 03:20:28,2025-12-21 04:04:08,Abandoned,2694876
63,21,9,1,564.82,564.82,2025-12-21 01:20:49,2025-12-21 04:16:40,Abandoned,2702055
64,22,77,4,27.86,111.44,2021-10-19 18:44:50,2021-10-19 21:38:50,Abandoned,134313014
65,23,425,1,177.51,177.51,2021-01-16 09:07:09,2021-01-17 05:42:45,Abandoned,158194075
66,23,71,1,110.38,110.38,2021-01-16 11:22:20,2021-01-18 06:37:30,Active,158185964
68,25,132,4,369.68,1478.72,2025-07-22 15:55:19,2025-08-01 00:48:29,Deleted,15782385
69,26,47,2,85.17,170.34,2018-10-02 00:36:55,2018-10-02 12:41:24,Converted,230541489
70,26,241,6,280.56,1683.36,2018-10-02 01:41:16,2018-10-02 11:44:02,Converted,230537628
71,26,394,2,238.97,477.94,2018-10-02 04:44:41,2018-10-02 09:56:05,Converted,230526623
73,26,118,3,285.82,857.46,2018-10-01 07:20:43,2018-10-02 08:17:41,Converted,230603661
75,27,236,2,1142.25,2284.5,2023-09-09 20:57:05,2023-09-10 09:48:04,Converted,74689079
79,28,460,1,265.23,265.23,2024-10-23 00:05:32,2024-10-23 01:24:45,Abandoned,39340172
80,29,11,1,496.19,496.19,2023-01-23 03:36:24,2023-01-23 13:36:23,Active,94537120
81,29,448,1,125.72,125.72,2023-01-23 03:07:18,2023-01-23 21:28:11,Active,94538866
82,29,471,3,403.72,1211.16,2023-01-22 21:58:13,2023-01-23 09:32:40,Abandoned,94557411
83,29,95,1,133.22,133.22,2023-01-23 01:24:08,2023-01-23 09:04:40,Active,94545056
84,29,269,1,224.43,224.43,2023-01-23 21:19:31,2023-01-23 22:55:27,Active,94473333
85,30,5,1,893.87,893.87,2024-05-08 13:30:30,2024-05-08 13:56:21,Active,53807074
87,30,224,1,376.73,376.73,2024-05-08 03:31:03,2024-05-08 14:32:16,Abandoned,53843041
88,30,65,1,61.02,61.02,2024-05-08 10:45:31,2024-05-08 16:39:50,Abandoned,53816973
89,31,354,2,156.7,313.4,2025-03-14 04:30:00,2025-03-14 10:01:29,Abandoned,27055504
90,31,486,2,415.81,831.62,2025-03-13 02:39:57,2025-03-13 04:27:38,Deleted,27148507
91,31,204,1,553.08,553.08,2025-03-12 15:22:18,2025-03-13 07:38:03,Active,27189166
92,32,243,3,555.05,1665.15,2024-12-08 20:22:52,2024-12-08 22:18:40,Converted,35292732
93,32,380,1,729.31,729.31,2024-12-08 23:49:54,2024-12-09 15:43:12,Converted,35280310
94,32,268,1,254.98,254.98,2024-12-08 17:48:25,2024-12-09 08:51:10,Converted,35301999
95,33,492,2,136.92,273.84,2022-12-26 13:42:45,2022-12-26 23:05:14,Deleted,96919939
97,33,317,4,175.41,701.64,2022-12-26 20:32:06,2022-12-26 22:48:03,Active,96895378
98,34,283,2,1198.51,2397.02,2025-12-23 05:24:22,2025-12-24 01:06:05,Deleted,2514642
99,34,165,1,133.28,133.28,2025-12-20 19:21:09,2025-12-23 20:23:13,Deleted,2723635
100,34,132,1,369.68,369.68,2025-12-23 20:39:14,2025-12-24 02:20:18,Deleted,2459750
101,34,243,5,555.05,2775.25,2025-12-21 10:35:06,2025-12-23 10:37:30,Deleted,2668798
103,35,285,3,126.67,380.01,2021-07-20 04:40:47,2021-07-20 05:39:18,Abandoned,142226057
104,35,75,1,254.98,254.98,2021-07-20 05:46:23,2021-07-20 05:52:46,Abandoned,142222121
105,35,329,1,755.73,755.73,2021-07-20 04:58:35,2021-07-20 05:30:32,Abandoned,142224989
106,35,491,2,802.9,1605.8,2021-07-20 02:58:34,2021-07-20 03:45:01,Abandoned,142232190
107,35,56,1,409.39,409.39,2021-07-20 04:23:55,2021-07-20 04:33:31,Active,142227069
108,35,180,2,26.12,52.24,2021-07-20 03:31:18,2021-07-20 05:13:19,Active,142230226
109,36,28,1,298.62,298.62,2025-12-22 01:55:08,2025-12-22 02:03:23,Converted,2613596
111,36,261,3,246.89,740.67,2025-12-22 01:12:18,2025-12-22 02:42:23,Converted,2616166
112,36,265,1,73.41,73.41,2025-12-22 02:52:38,2025-12-22 03:07:49,Converted,2610146
114,37,135,1,80.26,80.26,2024-08-21 00:20:05,2024-08-21 04:14:34,Abandoned,44782499
116,38,255,2,426.79,853.58,2025-05-08 03:03:49,2025-05-08 04:24:17,Abandoned,22308675
117,38,484,2,62.52,125.04,2025-05-08 03:47:02,2025-05-08 04:10:59,Abandoned,22306082
118,38,330,1,117.61,117.61,2025-05-08 02:16:52,2025-05-08 03:41:44,Abandoned,22311492
119,38,492,5,136.92,684.6,2025-05-08 04:03:06,2025-05-08 04:53:30,Active,22305118
120,39,276,6,179.81,1078.86,2025-11-14 12:47:40,2025-11-14 16:20:56,Converted,5857644
121,40,253,1,131.16,131.16,2024-07-15 12:15:16,2024-07-17 00:10:16,Active,47936388
122,41,252,3,323.84,971.52,2022-04-21 21:31:45,2022-04-22 06:38:32,Active,118405399
123,42,390,2,98.86,197.72,2025-01-05 04:36:38,2025-01-05 09:33:11,Active,32930306
124,42,220,2,269.37,538.74,2025-01-05 15:44:46,2025-01-05 16:55:26,Active,32890218
125,42,170,2,219.84,439.68,2025-01-04 23:58:47,2025-01-05 10:25:52,Active,32946977
126,42,447,1,154.54,154.54,2025-01-05 10:45:40,2025-01-05 11:25:26,Active,32908164
127,43,281,2,59.36,118.72,2024-12-09 00:18:04,2024-12-09 00:39:30,Converted,35278620
128,44,278,2,71.92,143.84,2017-08-17 18:40:26,2017-08-21 01:41:50,Active,265986878
129,45,44,2,326.93,653.86,2025-06-14 03:23:40,2025-06-14 12:46:47,Converted,19110684
130,45,143,2,618.02,1236.04,2025-06-13 09:47:49,2025-06-13 19:37:36,Converted,19174035
131,46,312,1,101.5,101.5,2019-09-17 01:50:53,2019-09-17 06:41:39,Abandoned,200297051
132,46,95,2,133.22,266.44,2019-09-16 19:52:29,2019-09-19 08:37:38,Abandoned,200318555
133,47,51,1,188.65,188.65,2023-07-15 18:37:51,2023-07-16 09:25:01,Active,79535833
134,47,83,2,35.12,70.24,2023-07-15 13:15:54,2023-07-16 13:57:17,Active,79555150
135,47,404,1,92.6,92.6,2023-07-16 05:20:14,2023-07-16 14:45:43,Active,79497290
136,47,437,1,335.9,335.9,2023-07-15 12:01:06,2023-07-16 16:35:52,Active,79559638
137,48,383,2,546.58,1093.16,2023-07-15 07:13:35,2023-07-15 07:42:20,Abandoned,79576889
138,48,31,4,51.19,204.76,2023-07-15 06:10:36,2023-07-15 06:28:27,Abandoned,79580668
139,49,341,2,40.65,81.3,2025-08-29 23:40:18,2025-08-30 00:11:28,Abandoned,12471286
140,50,222,2,668.94,1337.88,2018-09-27 08:26:10,2018-09-27 09:19:34,Abandoned,230945334
141,50,479,2,196.45,392.9,2018-09-27 03:16:27,2018-09-27 07:13:34,Abandoned,230963917
142,51,420,3,348.82,1046.46,2025-07-14 19:25:37,2025-07-14 20:20:31,Active,16460967
143,52,392,2,598.09,1196.18,2025-04-25 14:01:47,2025-04-25 17:08:34,Converted,23392397
145,52,303,1,67.5,67.5,2025-04-24 20:03:35,2025-04-25 09:40:56,Converted,23457089
146,52,489,1,150.92,150.92,2025-04-25 08:24:08,2025-04-25 22:23:01,Converted,23412656
147,52,259,1,146.12,146.12,2025-04-23 10:48:31,2025-04-25 00:13:10,Converted,23576793
150,54,392,5,598.09,2990.45,2025-02-10 09:56:31,2025-02-14 18:44:57,Active,29800713
151,55,130,1,745.47,745.47,2017-09-26 09:20:38,2017-09-26 11:53:37,Converted,262564466
156,57,378,6,100.56,603.36,2023-11-13 03:13:45,2023-11-14 14:47:21,Converted,69136879
157,57,249,1,144.56,144.56,2023-11-14 18:15:55,2023-11-14 19:23:57,Converted,68996349
158,57,52,1,105.12,105.12,2023-11-12 19:58:14,2023-11-13 06:18:02,Converted,69163010
159,58,399,2,537.25,1074.5,2022-01-04 21:57:06,2022-01-04 23:59:31,Abandoned,127648678
160,58,413,1,60.37,60.37,2022-01-04 23:52:32,2022-01-05 02:42:34,Abandoned,127641752
161,58,253,1,131.16,131.16,2022-01-05 05:14:13,2022-01-05 05:15:54,Abandoned,127622451
162,59,272,4,133.08,532.32,2023-03-12 09:47:28,2023-03-12 15:42:57,Active,90367656
163,59,370,1,256.71,256.71,2023-03-10 00:42:04,2023-03-10 09:28:18,Active,90573180
164,59,65,4,61.02,244.08,2023-03-08 18:31:31,2023-03-13 00:00:16,Active,90681813
165,60,394,2,238.97,477.94,2025-01-26 13:50:03,2025-01-26 14:07:48,Active,31082701
166,60,379,1,47.01,47.01,2025-01-26 13:45:01,2025-01-26 14:00:40,Abandoned,31083003
167,60,464,4,118.76,475.04,2025-01-26 09:37:06,2025-01-26 15:02:52,Abandoned,31097878
168,61,65,2,61.02,122.04,2017-06-10 15:36:14,2017-06-13 03:55:02,Active,271873130
169,61,2,2,934.87,1869.74,2017-06-10 03:46:10,2017-06-13 04:56:22,Active,271915734
170,62,165,1,133.28,133.28,2025-02-05 12:23:03,2025-02-05 13:06:47,Converted,30223921
171,62,413,3,60.37,181.11,2025-02-05 17:00:13,2025-02-05 20:47:10,Converted,30207291
172,63,466,2,937.33,1874.66,2025-09-30 00:52:40,2025-09-30 01:38:46,Converted,9788544
173,63,400,3,94.03,282.09,2025-09-28 23:08:27,2025-09-29 08:51:07,Converted,9881197
174,64,345,1,151.88,151.88,2019-12-17 01:28:19,2019-12-17 03:34:42,Abandoned,192436005
175,65,379,1,47.01,47.01,2024-10-26 11:44:59,2024-10-26 11:44:59,Abandoned,39039005
176,66,16,1,692.72,692.72,2024-10-23 19:56:26,2024-10-23 23:22:08,Abandoned,39268718
177,66,80,1,85.74,85.74,2024-10-23 23:11:45,2024-10-24 00:37:55,Abandoned,39256999
178,66,463,1,43.99,43.99,2024-10-23 18:56:11,2024-10-24 00:02:11,Abandoned,39272333
179,66,15,5,185.9,929.5,2024-10-23 22:16:24,2024-10-23 22:36:35,Abandoned,39260320
180,67,142,1,174.48,174.48,2022-03-23 10:10:48,2022-03-23 13:04:52,Converted,120951856
181,67,389,3,327.83,983.49,2022-03-23 10:56:13,2022-03-23 13:06:40,Converted,120949131
182,67,354,1,156.7,156.7,2022-03-23 08:33:47,2022-03-23 10:39:38,Converted,120957677
183,68,203,2,94.19,188.38,2024-03-26 10:58:48,2024-03-26 10:59:09,Abandoned,57531376
184,68,295,1,238.26,238.26,2024-03-26 11:48:50,2024-03-26 11:49:38,Abandoned,57528374
185,68,239,1,491.36,491.36,2024-03-26 11:16:40,2024-03-26 11:49:38,Abandoned,57530304
186,68,61,1,57.63,57.63,2024-03-26 11:35:56,2024-03-26 11:53:42,Active,57529148
188,69,277,1,39.31,39.31,2019-04-17 10:38:42,2019-04-17 11:36:41,Abandoned,213484582
191,70,72,3,462.01,1386.03,2025-09-11 18:59:34,2025-09-13 09:00:45,Active,11364930
192,71,392,1,598.09,598.09,2024-01-03 16:44:12,2024-01-03 16:44:12,Abandoned,64681852
194,72,48,1,746.22,746.22,2024-03-27 19:12:23,2024-03-28 00:45:43,Converted,57415361
195,72,288,4,31.48,125.92,2024-03-27 23:36:34,2024-03-28 00:28:32,Converted,57399510
196,72,91,1,59.47,59.47,2024-03-27 10:01:38,2024-03-28 13:13:50,Converted,57448406
197,72,293,2,116.69,233.38,2024-03-27 05:03:54,2024-03-27 09:32:22,Converted,57466270
198,73,488,1,121.53,121.53,2020-12-19 14:15:37,2020-12-19 15:57:41,Abandoned,160594767
199,73,424,4,26.23,104.92,2020-12-19 15:54:02,2020-12-19 19:17:50,Abandoned,160588862
200,73,47,1,85.17,85.17,2020-12-19 09:42:17,2020-12-19 12:33:42,Abandoned,160611167
201,74,207,1,46.8,46.8,2025-02-09 07:06:56,2025-02-10 15:08:08,Active,29897288
202,74,132,3,369.68,1109.04,2025-02-08 16:33:07,2025-02-09 03:27:41,Active,29949717
203,74,18,1,397.05,397.05,2025-02-09 03:11:40,2025-02-13 02:53:59,Abandoned,29911404
204,75,470,2,695.16,1390.32,2021-10-23 01:11:49,2021-10-25 00:39:58,Active,134030595
206,76,243,2,555.05,1110.1,2022-10-24 01:00:49,2022-10-24 01:42:18,Abandoned,102408855
208,77,135,1,80.26,80.26,2024-10-22 09:09:30,2024-10-25 22:41:03,Active,39393934
209,77,297,2,173.45,346.9,2024-10-24 02:52:13,2024-10-26 05:31:27,Active,39243771
210,78,75,1,254.98,254.98,2024-08-27 06:23:21,2024-08-27 21:23:07,Active,44242303
211,78,486,4,415.81,1663.24,2024-08-26 20:25:23,2024-08-27 13:54:06,Active,44278181
212,79,169,3,571.68,1715.04,2024-11-02 23:16:00,2024-11-05 08:45:02,Active,38392744
213,79,415,1,158.1,158.1,2024-11-03 16:38:24,2024-11-06 17:14:43,Active,38330200
214,80,378,1,100.56,100.56,2023-08-19 01:22:06,2023-08-19 07:17:53,Abandoned,76573978
215,80,485,1,493.06,493.06,2023-08-19 01:54:34,2023-08-19 03:49:09,Active,76572030
216,81,305,2,378.28,756.56,2022-04-21 15:19:18,2022-04-22 15:27:43,Converted,118427746
218,82,211,1,85.31,85.31,2019-12-17 01:20:45,2019-12-17 01:20:45,Abandoned,192436459
219,82,111,2,1148.98,2297.96,2019-12-17 01:20:45,2019-12-17 01:20:45,Abandoned,192436459
220,83,51,2,188.65,377.3,2021-01-22 11:44:58,2021-01-22 17:13:26,Converted,157666206
221,83,384,2,39.95,79.9,2021-01-23 03:32:17,2021-01-23 11:50:59,Converted,157609367
222,83,178,2,864.62,1729.24,2021-01-22 12:31:43,2021-01-23 05:30:28,Converted,157663401
225,84,436,1,80.51,80.51,2022-05-11 07:40:19,2022-05-11 07:44:34,Abandoned,116727285
226,84,302,3,142.59,427.77,2022-05-11 06:44:57,2022-05-11 07:00:40,Abandoned,116730607
229,86,332,2,33.87,67.74,2021-06-24 17:48:05,2021-06-24 19:04:45,Converted,144425219
230,86,13,1,119.0,119.0,2021-06-24 13:05:19,2021-06-24 21:04:14,Converted,144442185
231,86,299,2,253.54,507.08,2021-06-23 20:17:54,2021-06-24 01:06:27,Converted,144502630
232,87,96,2,623.82,1247.64,2024-10-28 20:54:55,2024-10-28 21:17:29,Converted,38833209
233,87,361,3,203.75,611.25,2024-10-29 03:34:58,2024-10-29 04:22:47,Converted,38809206
234,87,392,1,598.09,598.09,2024-10-29 06:52:34,2024-10-29 06:54:41,Converted,38797350
235,88,293,1,116.69,116.69,2019-04-17 12:20:11,2019-04-18 05:47:07,Converted,213478493
236,88,284,2,304.44,608.88,2019-04-18 03:38:50,2019-04-18 04:33:44,Converted,213423374
237,88,500,5,48.8,244.0,2019-04-17 06:01:26,2019-04-18 10:13:50,Converted,213501218
238,89,342,1,64.55,64.55,2017-04-27 23:23:31,2017-04-28 00:21:53,Abandoned,275646693
239,89,340,1,1050.39,1050.39,2017-04-27 23:56:58,2017-04-28 01:02:35,Abandoned,275644686
240,89,164,1,336.48,336.48,2017-04-28 00:18:41,2017-04-28 00:43:01,Abandoned,275643383
241,90,143,1,618.02,618.02,2025-07-28 16:33:39,2025-07-28 17:49:33,Active,15261685
243,91,268,1,254.98,254.98,2025-09-03 03:24:12,2025-09-03 04:46:08,Active,12112252
244,91,285,5,126.67,633.35,2025-09-03 03:22:43,2025-09-03 04:40:51,Abandoned,12112341
245,92,248,2,165.29,330.58,2024-12-08 06:14:28,2024-12-08 07:26:38,Converted,35343636
246,92,84,1,1161.5,1161.5,2024-12-08 07:00:11,2024-12-08 07:13:48,Converted,35340893
247,92,423,2,127.71,255.42,2024-12-08 06:04:14,2024-12-08 08:35:58,Converted,35344250
248,93,39,2,59.03,118.06,2021-03-24 07:20:34,2021-03-27 15:27:03,Deleted,152411670
250,93,142,1,174.48,174.48,2021-03-22 15:58:39,2021-03-25 02:53:12,Deleted,152553385
251,94,233,1,45.4,45.4,2024-09-28 09:25:59,2024-09-28 10:31:47,Abandoned,41466545
252,95,301,2,27.18,54.36,2025-05-29 10:34:33,2025-06-05 20:51:11,Deleted,20467231
253,95,275,5,28.51,142.55,2025-05-24 15:26:54,2025-05-26 04:33:27,Deleted,20881690
255,95,281,1,59.36,59.36,2025-06-02 12:45:36,2025-06-03 21:34:13,Deleted,20113768
256,96,316,2,91.48,182.96,2025-09-27 10:35:28,2025-09-27 10:36:43,Abandoned,10012776
257,97,497,5,268.54,1342.7,2022-12-31 08:36:00,2022-12-31 22:17:21,Active,96506344
258,97,119,1,200.43,200.43,2023-01-01 12:42:40,2023-01-01 23:50:16,Active,96405144
259,97,241,2,280.56,561.12,2023-01-01 02:53:16,2023-01-01 06:07:12,Active,96440508
260,97,362,3,182.97,548.91,2023-01-01 00:49:26,2023-01-01 12:33:39,Active,96447938
261,97,12,1,168.0,168.0,2023-01-01 21:19:19,2023-01-01 22:07:04,Active,96374145
262,97,400,1,94.03,94.03,2023-01-01 00:08:52,2023-01-01 18:30:33,Active,96450372
264,98,329,1,755.73,755.73,2025-11-27 08:47:11,2025-11-30 20:13:52,Active,4748873
265,99,480,1,53.57,53.57,2025-07-11 09:38:15,2025-07-11 13:00:08,Converted,16755409
266,100,307,1,126.97,126.97,2024-12-17 15:33:47,2024-12-18 10:46:27,Converted,34532477
267,100,217,3,1017.69,3053.07,2024-12-18 04:51:50,2024-12-19 07:32:25,Converted,34484594
268,101,497,3,268.54,805.62,2024-07-22 16:20:28,2024-07-22 17:08:54,Abandoned,47316876
269,102,65,1,61.02,61.02,2023-08-20 02:50:58,2023-08-20 17:28:23,Abandoned,76482246
270,102,397,1,214.11,214.11,2023-08-20 09:47:58,2023-08-20 14:20:33,Abandoned,76457226
273,104,325,1,140.49,140.49,2023-07-18 21:39:39,2023-07-20 08:38:55,Active,79265725
274,104,411,1,84.88,84.88,2023-07-17 02:31:47,2023-07-19 20:47:33,Active,79420997
275,104,478,4,215.05,860.2,2023-07-16 16:40:54,2023-07-19 09:04:45,Active,79456450
276,105,418,3,67.05,201.15,2022-02-18 06:48:34,2022-02-18 07:17:10,Converted,123815190
277,106,182,3,488.84,1466.52,2025-03-09 05:30:28,2025-03-09 07:28:28,Abandoned,27483876
278,106,450,1,152.76,152.76,2025-03-09 08:27:45,2025-03-09 08:45:30,Abandoned,27473239
279,107,493,2,369.54,739.08,2022-03-08 10:46:42,2022-03-10 07:01:23,Active,122245702
280,108,189,3,342.29,1026.87,2025-03-29 23:30:57,2025-03-30 01:02:05,Abandoned,25691047
281,108,107,2,84.07,168.14,2025-03-30 02:14:56,2025-03-30 06:23:49,Abandoned,25681208
282,109,297,2,173.45,346.9,2024-08-01 09:53:41,2024-08-03 02:28:26,Converted,46476083
283,109,9,1,564.82,564.82,2024-08-01 00:24:26,2024-08-03 15:49:39,Converted,46510238
284,109,410,3,143.2,429.6,2024-08-03 18:08:16,2024-08-03 18:40:49,Converted,46273608
285,110,328,5,64.82,324.1,2021-10-07 18:12:26,2021-10-09 11:39:46,Active,135351758
286,110,361,3,203.75,611.25,2021-10-08 22:56:57,2021-10-10 12:58:00,Abandoned,135248287
287,111,400,3,94.03,282.09,2025-09-23 09:36:32,2025-09-24 14:16:53,Active,10361912
288,111,88,4,299.08,1196.32,2025-09-25 13:52:33,2025-09-25 15:21:34,Abandoned,10173751
289,111,288,3,31.48,94.44,2025-09-25 10:28:07,2025-09-25 13:37:58,Active,10186017
291,112,104,2,32.71,65.42,2023-02-27 15:13:18,2023-02-27 20:37:02,Converted,91471306
293,112,402,5,224.2,1121.0,2023-02-28 21:20:40,2023-02-28 23:11:14,Converted,91362864
294,113,415,1,158.1,158.1,2023-05-04 19:47:27,2023-05-04 20:07:03,Abandoned,85752457
295,113,216,1,142.37,142.37,2023-05-05 01:07:04,2023-05-05 01:53:26,Abandoned,85733280
297,114,236,1,1142.25,1142.25,2025-11-13 02:46:55,2025-11-13 18:44:39,Deleted,5980089
298,114,4,3,147.53,442.59,2025-11-09 00:54:55,2025-11-14 19:46:12,Deleted,6332409
299,115,333,1,441.65,441.65,2025-09-15 01:29:03,2025-09-16 10:16:33,Active,11082361
300,115,202,1,367.03,367.03,2025-09-15 20:46:26,2025-09-16 05:12:01,Abandoned,11012918
301,115,93,1,719.26,719.26,2025-09-15 14:27:03,2025-09-16 11:00:17,Abandoned,11035681
302,116,461,1,711.37,711.37,2025-11-09 02:14:36,2025-11-10 13:33:18,Deleted,6327628
303,116,473,2,309.25,618.5,2025-11-08 04:01:47,2025-11-10 07:53:40,Abandoned,6407597
304,117,88,1,299.08,299.08,2023-08-20 16:22:18,2023-08-21 06:52:39,Converted,76433566
305,118,446,1,386.34,386.34,2023-06-21 20:49:26,2023-06-21 22:37:35,Abandoned,81601538
307,118,480,2,53.57,107.14,2023-06-21 23:36:11,2023-06-21 23:38:03,Abandoned,81591533
308,119,96,4,623.82,2495.28,2022-08-09 18:25:55,2022-08-09 22:17:23,Active,108912549
309,119,187,2,69.09,138.18,2022-08-09 16:09:00,2022-08-09 23:03:59,Active,108920764
310,120,200,3,899.94,2699.82,2020-12-29 20:44:11,2020-12-29 21:12:43,Abandoned,159707453
311,120,99,1,932.42,932.42,2020-12-29 21:36:07,2020-12-30 01:51:49,Abandoned,159704337
313,121,269,2,224.43,448.86,2024-09-13 04:29:35,2024-09-13 04:29:35,Active,42780329
314,121,376,1,774.43,774.43,2024-09-13 04:29:35,2024-09-13 04:29:35,Active,42780329
315,122,69,2,45.4,90.8,2023-08-12 15:30:37,2023-08-12 18:43:19,Abandoned,77127867
316,122,453,3,488.68,1466.04,2023-08-12 12:56:00,2023-08-12 18:45:23,Abandoned,77137144
317,122,245,2,100.81,201.62,2023-08-12 09:06:49,2023-08-12 12:05:49,Active,77150895
319,122,230,1,339.85,339.85,2023-08-12 10:44:01,2023-08-12 12:50:11,Abandoned,77145063
321,123,187,1,69.09,69.09,2020-06-02 12:03:27,2020-06-02 12:31:13,Active,177882697
322,123,103,1,408.53,408.53,2020-06-02 09:38:10,2020-06-02 11:13:50,Abandoned,177891414
323,123,401,1,58.06,58.06,2020-06-02 09:41:52,2020-06-02 12:20:14,Active,177891192
324,124,149,2,78.07,156.14,2019-11-29 23:01:31,2019-11-30 15:07:57,Converted,193913613
325,125,376,1,774.43,774.43,2023-11-18 15:38:41,2023-11-18 15:52:25,Abandoned,68660183
326,126,341,1,40.65,40.65,2023-01-14 16:51:05,2023-01-14 21:11:26,Abandoned,95267039
327,127,114,2,249.98,499.96,2020-07-21 04:02:56,2020-07-28 07:47:44,Deleted,173677928
329,127,185,1,1113.03,1113.03,2020-07-24 01:20:59,2020-07-28 11:21:54,Deleted,173428445
330,127,150,2,361.94,723.88,2020-07-18 02:57:00,2020-07-21 16:49:46,Deleted,173941084
331,127,379,1,47.01,47.01,2020-07-25 17:59:56,2020-07-26 10:28:52,Deleted,173282108
332,128,14,1,91.24,91.24,2025-11-01 14:34:19,2025-11-01 21:12:35,Abandoned,6974445
333,128,305,1,378.28,378.28,2025-11-01 20:26:43,2025-11-01 23:44:21,Active,6953301
